CodFabrica;CodCliente;QtdTranspCIF;Custo por Unidade;Custo Total;QtdTransp Otimizada;Custo por Unidade com 5%;Custo Total com 5%
3424402;2311;3943200;0,522067476;2058616,47;0;0,548170849;2161547,294
3424402;2319;220500;0,39621483;87365,37;1374182;0,416025571;91733,6385
3424402;2320;6000;0,3159;1895,4;5063433;0,331695;1990,17
3424402;2321;3000;0,3159;947,7;10686204;0,331695;995,085
3424402;2322;478500;0,323024828;154567,38;2495205;0,339176069;162295,749
3424402;2323;3900;0,278792308;1087,29;1753764;0,292731923;1141,6545
3424402;2324;9900;0,311358586;3082,45;0;0,326926515;3236,5725
3424402;2325;7800;0,278792308;2174,58;7828763;0,292731923;2283,309
3424402;2326;631800;0,305107202;192766,73;4683454;0,320362562;202405,0665
3424402;2327;3900;0,278792308;1087,29;11836544;0,292731923;1141,6545
3424402;2328;576000;0,351578056;202508,96;0;0,369156958;212634,408
3424402;2329;3900;0,311482051;1214,78;13860432;0,327056154;1275,519
3424402;2330;7500;0,3159;2369,25;3482379;0,331695;2487,7125
3424402;2331;780000;0,332526667;259370,8;0;0,349153;272339,34
3424402;2332;4500;0,300113333;1350,51;10839219;0,315119;1418,0355
3424402;2333;3000;0,364646667;1093,94;0;0,382879;1148,637
3424402;2334;537900;0,310613292;167078,89;1898750;0,326143957;175432,8345
3424402;2335;819600;0,326441715;267551,63;14197671;0,342763801;280929,2115
3424402;2336;785100;0,685463992;538157,78;0;0,719737191;565065,669
3424402;2337;1381500;0,665852204;919874,82;0;0,699144814;965868,561
3424402;2338;1195500;0,660819891;790010,18;0;0,693860886;829510,689
3424402;2344;1219800;0,442954853;540316,33;0;0,465102596;567332,1465
3424402;2345;1084500;0,454422656;492821,37;0;0,477143788;517462,4385
3424402;2346;22800;0,447541228;10203,94;0;0,469918289;10714,137
3424402;2347;1446300;0,837811083;1211726,17;0;0,879701638;1272312,479
3424402;2348;1137000;0,890553307;1012559,11;0;0,935080972;1063187,066
3424402;2349;6300;1,049739683;6613,36;0;1,102226667;6944,028
3424402;2350;1259700;0,962427006;1212369,3;0;1,010548357;1272987,765
3424402;2351;5100;1,08164902;5516,41;0;1,135731471;5792,2305
